longitude,latitude,city,wrb4_code,physical_root_depth,physical_available_water_capacity,basic_ph,basic_organic_carbon,basic_total_nitrogen,basic_c/n_ratio,texture_clay,texture_silt,texture_sand,texture_coarse_fragments,physical_bulk_density,physical_reference_bulk_density,chemical_cation_exchange_capacity,chemical_clay_cec,chemical_effective_cec,chemical_total_exchangeable_bases,chemical_base_saturation,chemical_exchangeable_sodium_percentage,chemical_aluminum_saturation,salinity_electrical_conductivity,salinity_total_carbon_equivalent,salinity_gypsum_content
26.0,39.8,Çanakkale,TC,1,0,6.1,1.93,1.32,11.5,25.0,35.0,33.0,5.0,1.35,1.78,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.2,39.6,Çanakkale,TC,1,0,6.1,1.93,1.32,11.25,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.2,39.8,Çanakkale,TC,1,0,6.1,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.2,40.0,Çanakkale,TC,1,0,6.1,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.2,40.6,Edirne,AN,3,41,5.9,6.96,3.31,12.0,19.0,41.0,40.0,13.0,0.86,1.69,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.2,40.8,Edirne,AN,3,41,5.9,6.96,3.31,12.0,19.0,41.0,40.0,13.0,0.86,1.69,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.4,38.6,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.4,39.6,Çanakkale,TC,1,0,6.1,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.4,39.8,Çanakkale,TC,1,0,6.1,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.4,40.0,Çanakkale,TC,1,0,6.25,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.4,40.2,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.4,40.4,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.4,40.6,Edirne,AN,3,41,5.9,6.96,3.31,12.0,19.0,41.0,40.0,13.0,0.86,1.69,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.4,40.8,Edirne,AN,3,41,5.9,6.96,3.31,12.0,19.0,41.0,40.0,13.0,0.86,1.69,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.4,41.0,Edirne,AN,3,41,5.9,6.96,3.31,12.0,19.0,41.0,40.0,13.0,0.86,1.69,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.4,41.2,Edirne,AN,3,41,5.9,6.96,3.31,12.0,19.0,41.0,40.0,13.0,0.86,1.69,34.0,67.0,14.0,10.0,43.0,1.0,38.0,0.0,0.0,0.0
26.4,41.8,Edirne,LVvr,1,194,6.6,1.43,1.15,10.0,39.0,32.0,29.0,5.0,1.41,1.93,25.0,55.0,23.0,21.0,93.0,1.0,0.0,1.0,0.0,0.1
26.6,38.2,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.6,38.4,İzmir,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
26.6,39.6,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.6,39.8,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.6,40.0,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.6,40.2,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.6,40.4,Çanakkale,TC,1,0,6.4,1.93,1.32,11.0,22.0,35.0,39.0,5.0,1.35,1.74,17.328,49.775,27.156,25.549,84.274,2.042,0.296,0.911,7.429,0.752
26.6,40.8,Edirne,CMcr,1,165,6.1,1.93,1.32,12.0,36.0,31.0,33.0,5.0,1.35,1.9,20.0,34.0,15.0,17.0,82.0,1.0,0.0,1.0,0.0,1.6
